commodity_code,month,volatility_12w,import_hhi,import_yoy,import_cagr3,production_hhi,spread_pct,geopolitical_risk,geo_macro,ref_price,y
CO,2020-01-01,0.01516703812175655,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.175,13.894999999999998,32412.5,67.73351467309547
CO,2020-02-01,0.02328652593114747,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.5449999999999999,9.624999999999995,33712.5,65.22778370414171
CO,2020-03-01,0.027266795611463678,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.5449999999999999,8.452499999999999,30480.0,71.6827337985163
CO,2020-04-01,0.02702228145793741,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.5449999999999999,17.8025,29500.0,73.68412585549284
CO,2020-05-01,0.022454061805442297,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.5449999999999999,8.572499999999998,29500.0,73.47573330506773
CO,2020-06-01,0.006729790069278532,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.5449999999999999,13.579999999999995,29030.0,73.99358529191542
CO,2020-07-01,0.006149740874444931,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.5449999999999999,9.695,28565.0,74.39577574438809
CO,2020-08-01,0.03644134769074083,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.28,7.455,32925.0,65.98598860857169
CO,2020-09-01,0.03489852554516236,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.28,8.37,33621.25,65.0012648580672
CO,2020-10-01,0.02913124967034746,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.28,11.985000000000003,33158.25,65.53665975971867
CO,2020-11-01,0.0091477235597049,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.28,8.875000000000002,32196.6,67.03712930395976
CO,2020-12-01,0.005994872097356562,3239.773721857755,-0.6620950910620129,0.008070358935512445,,,0.28,11.695000000000002,31889.355,67.35539091619628
CO,2021-01-01,0.031286243607371415,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.28,14.859999999999989,37691.5,62.91265322220392
CO,2021-02-01,0.036321275683595694,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.28,12.915000000000006,47291.25,43.70474722539274
CO,2021-03-01,0.034900047508927404,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.28,10.1475,52310.3,33.86451457344896
CO,2021-04-01,0.0382247967220502,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.28,13.499999999999998,48978.4375,40.033079144253
CO,2021-05-01,0.02750321587746559,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.28,11.490000000000004,44103.5,49.26967671351162
CO,2021-06-01,0.026408639661907436,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.35,10.865,44922.75,49.60342928521076
CO,2021-07-01,0.03377856175072727,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.28,6.35,51661.25,34.74775681380699
CO,2021-08-01,0.02717087622777619,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.3,10.894999999999994,51528.95,34.48895969495754
CO,2021-09-01,0.021152620455581535,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.3,9.905,51957.25,34.49729818165189
CO,2021-10-01,0.016204594160835896,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.3,12.707499999999998,54973.25,28.502616237125608
CO,2021-11-01,0.01585440403123002,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.3,13.029999999999998,60873.8,20.525594839973163
CO,2021-12-01,0.017236656369336207,3638.4479096852183,-0.3812626581094244,-0.26890890382106525,,,0.3,10.53,69726.1675,9.872771567028698
CO,2022-01-01,0.018698870335018023,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.3,14.054999999999998,70483.15,9.191030263876048
CO,2022-02-01,0.016021556322931174,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.3,16.577499999999993,72368.0,8.246292946484795
CO,2022-03-01,0.025002918678070238,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,18.74000000000001,81865.5,3.690800132912151
CO,2022-04-01,0.025318843786289107,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,19.974999999999998,81786.875,3.91396924081853
CO,2022-05-01,0.03062331723603805,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,18.362500000000004,77268.916,5.240022280807992
CO,2022-06-01,0.025450624994113824,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,13.630000000000003,71897.25,8.742129242626795
CO,2022-07-01,0.05092511785476517,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,11.140000000000004,55498.75,28.07536246746814
CO,2022-08-01,0.06063040959391749,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,9.710000000000003,49606.0,40.990079289971064
CO,2022-09-01,0.06292387858089689,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,8.550000000000002,51514.25,37.09384828373041
CO,2022-10-01,0.025868091136043842,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,9.334999999999999,51510.2,36.972139208334816
CO,2022-11-01,0.0052709701388833,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,9.975000000000003,51504.25,36.5170865487977
CO,2022-12-01,8.206511722479718e-05,3058.650744970165,0.7790851640387186,-0.2808284110922912,,,0.2,10.660000000000007,51496.582500000004,36.20065703503189
CO,2023-01-01,0.01242755226222229,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,11.795,48321.95,41.793673464728734
CO,2023-02-01,0.04964465303559891,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,15.187500000000007,35864.25,64.4125481928067
CO,2023-03-01,0.04909514637157586,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,13.282499999999997,33844.5,69.95312723621433
CO,2023-04-01,0.05175876518971592,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,13.554999999999996,34498.025,68.76526235522064
CO,2023-05-01,0.020610089317620994,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,11.229999999999997,33031.35,70.93077488200193
CO,2023-06-01,0.03613435234972434,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,8.030000000000001,29182.25,76.91496703197208
CO,2023-07-01,0.051249047785394984,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.2,6.299999999999999,32982.0,70.92692176717024
CO,2023-08-01,0.04117489274831586,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.68,11.159999999999998,32979.8125,71.15243119506349
CO,2023-09-01,0.02440613503444344,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.68,13.067500000000006,32982.0,71.04217686829219
CO,2023-10-01,5.547509703389404e-05,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.68,12.255000000000003,32984.4,71.57582752871441
CO,2023-11-01,0.00011542170119381692,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.68,11.62749999999999,33004.25,71.09544187032976
CO,2023-12-01,0.02034030720295766,2510.8289315341085,0.14808803687600625,0.08116692746621412,,,0.68,12.619999999999996,30090.9175,74.64052777926291
CO,2024-01-01,0.027475858719216144,1563.3256030795842,-0.464859983492061,0.03010094548747988,,,0.68,14.084999999999999,28690.4,76.96062856158731
CO,2024-02-01,0.0271996846709368,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,9.959999999999999,28254.5,77.40527195387283
CO,2024-03-01,0.0071767494786857434,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,10.407499999999994,28285.5,77.23407813179261
CO,2024-04-01,0.00702924364608141,1563.3256030795842,-0.464859983492061,0.03010094548747988,,,0.68,16.159999999999986,27993.7,77.69116765428542
CO,2024-05-01,0.00786670678766068,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,11.130000000000003,27431.75,77.97654736168019
CO,2024-06-01,0.008546542373873915,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,8.615000000000002,26825.25,78.75095766202189
CO,2024-07-01,0.007174212036080191,1563.3256030795842,-0.464859983492061,0.03010094548747988,,,0.68,13.950000000000003,26399.6,78.85062923741722
CO,2024-08-01,0.012640010114931908,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,9.754999999999995,25127.4375,79.70433421930589
CO,2024-09-01,0.018577016732073272,1563.3256030795842,-0.464859983492061,0.03010094548747988,,,0.68,11.492499999999998,24095.0,80.68516810774601
CO,2024-10-01,0.018652570573020676,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,8.355,24242.0,80.64653176358378
CO,2024-11-01,0.00638624289244227,1563.3256030795842,-0.46485998349206104,0.03010094548747988,,,0.68,3.75,24293.25,80.64207264093679
CO,2024-12-01,0.0005518304028485257,1563.3256030795842,-0.464859983492061,0.03010094548747988,,,0.68,9.4625,24300.0,80.84283427593878
CO,2025-01-01,0.005753132580664455,2379.81037403469,-0.33293351215005373,-0.2572022478793783,5772.704807100042,,0.68,13.642500000000005,23839.0,81.74284864612837
CO,2025-02-01,0.02531211644541393,2379.81037403469,-0.33293351215005373,-0.2572022478793783,5772.704807100042,,0.68,30.867500000000035,21599.25,83.54871131941107
CO,2025-03-01,0.07527776003323214,2379.81037403469,-0.33293351215005373,-0.2572022478793783,5772.704807100042,,0.68,27.71500000000004,31461.0,72.35371042570182
