feature,perm_importance
import_hhi,0.46467386330183597
ref_price,0.3016285809736801
spread_pct,0.22074610972565853
commodity_code,0.020544995934649958
geo_macro,0.011950093085958558
geopolitical_risk,0.00411105484451455
import_cagr3,0.00043574860446145004
production_hhi,0.0
volatility_12w,-0.004041175601434133
import_yoy,-0.04076071399507179
