"commodity_code","obs_date","alert_level","alert_name","crisis_index","triggers","사유"
"CO","2020-01-06","0","정상","32.26648532690453","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-01-13","0","정상","32.26648532690453","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-01-20","0","정상","32.26648532690453","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-01-27","0","정상","32.26648532690453","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-02-03","1","관심","34.772216295858286","nan","[CO · 관심(Blue)] 주요 생산국의 정세불안(테러·폭동 등으로 인한 생산차질 및 수출제한 우려) / 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100) 관련 이벤트: '콩고민주공화국(DRC)의동,코발트정광을수입했었으나,잠비아정부가수입원광에대해5%의관세를' (DRC, severity 0.60)"
"CO","2020-02-10","1","관심","34.772216295858286","nan","[CO · 관심(Blue)] 주요 생산국의 정세불안(테러·폭동 등으로 인한 생산차질 및 수출제한 우려) / 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100) 관련 이벤트: '콩고민주공화국(DRC)의동,코발트정광을수입했었으나,잠비아정부가수입원광에대해5%의관세를' (DRC, severity 0.60)"
"CO","2020-02-17","1","관심","34.772216295858286","nan","[CO · 관심(Blue)] 주요 생산국의 정세불안(테러·폭동 등으로 인한 생산차질 및 수출제한 우려) / 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100) 관련 이벤트: '콩고민주공화국(DRC)의동,코발트정광을수입했었으나,잠비아정부가수입원광에대해5%의관세를' (DRC, severity 0.60)"
"CO","2020-02-24","1","관심","34.772216295858286","nan","[CO · 관심(Blue)] 주요 생산국의 정세불안(테러·폭동 등으로 인한 생산차질 및 수출제한 우려) / 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 35/100) 관련 이벤트: '콩고민주공화국(DRC)의동,코발트정광을수입했었으나,잠비아정부가수입원광에대해5%의관세를' (DRC, severity 0.60)"
"CO","2020-03-02","1","관심","28.317266201483704","nan","[CO · 관심(Blue)] 국제 핵심광물 시장의 가격 변동성 증가. (산출근거: 수급위기지수 28/100)"
"CO","2020-03-09","0","정상","28.317266201483704","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-03-16","0","정상","28.317266201483704","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-03-23","0","정상","28.317266201483704","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-03-30","0","정상","28.317266201483704","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-04-06","0","정상","26.315874144507163","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-04-13","0","정상","26.315874144507163","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-04-20","0","정상","26.315874144507163","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-04-27","0","정상","26.315874144507163","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-05-04","0","정상","26.524266694932265","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-05-11","0","정상","26.524266694932265","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-05-18","0","정상","26.524266694932265","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-05-25","0","정상","26.524266694932265","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-06-01","0","정상","26.006414708084577","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-06-08","0","정상","26.006414708084577","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-06-15","0","정상","26.006414708084577","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-06-22","0","정상","26.006414708084577","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
"CO","2020-06-29","0","정상","26.006414708084577","nan","정상 — 위기지수·변동성·지정학 트리거 모두 임계 이하."
